Timestamp,MemTotal,MemFree,Buffers,Cached,SwapCached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),SwapTotal,SwapFree,AnonPages,Mapped,Shmem,CommitLimit,Committed_AS
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:50,1858332,142764,2224,1178088,17544,154680,1056404,96904,34204,57776,1022200,520908,364484,129744,433872,712,1450072,24098844
2024-11-20 04:05:52,1858332,140340,988,1183492,17488,646036,577088,104056,34880,541980,542208,520908,364016,137492,799684,712,1450072,24203648
2024-11-20 04:05:55,1858332,138004,992,1186008,17488,646756,579316,104528,34784,542228,544532,520908,364016,137764,823932,712,1450072,24203760
2024-11-20 04:05:57,1858332,138592,992,1185104,17488,647792,577944,104940,35028,542852,542916,520908,363996,138220,852944,712,1450072,24203576
